Cluster,Date,Year,Teamleader,LULC,Subtype,Scientific_name,DBH,bole_height,total_height,crown_diameter,tree_condition_label,Stump
SU1,13/01/2005,2018,Mr. X,Tropical High Forest,Dry Normal Land,Spathodea campanulata,35,4.5,7.5,3,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Sapium ellipticum,10.4,1.3,2.5,1,Unhealthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Sapium ellipticum,29.3,4.5,12,3.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,31.7,6,7,1.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Teclea nobilis,3.4,1.4,2.5,1,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,15.2,7,8.5,0.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Dichrostachys cinerea,28.2,3.5,4.5,3,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cola gigantea,5,1.8,2.5,1,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Steganotaenia araliacea,13.2,1.6,1.7,0,Unhealthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cassine aethiopica,4.2,1.8,2.5,1.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Coffea canephora,3.7,1.5,2.5,1,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Funtumia elastica,4.5,2,4,1.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Caloncoba schweinfurthii,10,1.4,4.5,2.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,12.5,6,8.5,2,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,46.7,7.5,11,3,Dead,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,29,2.5,6,2,Dead,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,15.3,7,9,1.5,Dead,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,14,2.5,7,0.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cassine aethiopica,17.4,2.5,7,2,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,9.5,4.5,8,2.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia zygia,32.3,4,12,10,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Funtumia africana,10,4.5,6.5,1.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,7,1.5,3,3,Healthy,No
SU1,13/02/2004,2019,Mr. X,Tropical High Forest,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU1,13/02/2004,2020,Mr. X,Tropical High Forest,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU1,13/02/2004,2021,Mr. X,Tropical High Forest,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU1,13/02/2004,2022,Mr. X,Tropical High Forest,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Dichrostachys cinerea,20,4,10,3.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,18.5,10,13,4,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,11,2,4.5,4,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia zygia,25.3,3.5,12,5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,14,1.6,6,3,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,14,4,6.5,1.5,Dead,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus sur,120,4,20,20,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cola gigantea,7.8,1.9,6,2,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Maytenus undata,10,1.6,5.5,2.5,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Polyscia fulva,12,4.5,7,2,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,20,11,12.5,2,Healthy,No
SU1,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cassine aethiopica,12.4,3.5,7,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Dichrostachys cinerea,21.2,4.5,8.5,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,11,2,6.5,4,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,17,2,8,4.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,12,2,6.5,2.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Funtumia africana,17.2,4,7,2.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Funtumia africana,15.2,3.5,8,2.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,13.2,2.5,6.5,4,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia zygia,34,4.5,20,18,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,10,1.6,5.5,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,17,,1,,,No
